sample_role,trajectory,session_id,source.repository,agent,model,strategy,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,initial_attribution.agent_lines,initial_attribution.total_committed,files_touched_count,lines_per_100_tools,activity_score,visible_progress_proxy,lack_progress_risk,bytes
risk,data/transcripts/019da9bd-7cbb-7d22-b21c-80faf72e7f8a.jsonl,019da9bd-7cbb-7d22-b21c-80faf72e7f8a,entireio/external-agents,Codex,gpt-5.4,manual-commit,252,41,150,3.0,3.0,2.0,1.1904761904761905,4.358663688271009,-1.0202547876196622,5.378918475890671,1647219
risk,data/transcripts/019de58a-ae68-7b00-8f1f-d9862098625f.jsonl,019de58a-ae68-7b00-8f1f-d9862098625f,zchee/spanner-manager,Codex,gpt-5.5,manual-commit,194,13,42,0.0,0.0,3.0,0.0,3.6628477826123884,-1.4440796188443838,5.1069274014567725,1546812
risk,data/transcripts/0e1d39af-a1cb-48a8-af0d-24ab9737608f.jsonl,0e1d39af-a1cb-48a8-af0d-24ab9737608f,moltis-org/moltis,Claude Code,,manual-commit,659,59,52,0.0,0.0,2.0,0.0,3.6962082639704237,-0.9575417295106051,4.6537499934810285,16932160
risk,data/transcripts/ed791c89-3b1f-46b9-8e56-2d948f24f0e5.jsonl,ed791c89-3b1f-46b9-8e56-2d948f24f0e5,moltis-org/moltis,Claude Code,,manual-commit,499,59,55,0.0,0.0,1.0,0.0,3.5921006084809735,-1.1492135195270081,4.741314128007982,9658831
risk,data/transcripts/a8cc39fd-fc0f-4533-916f-64a0ad61de3c.jsonl,a8cc39fd-fc0f-4533-916f-64a0ad61de3c,oddessentials/ado-git-repo-insights,Claude Code,claude-opus-4-8[1m],manual-commit,116,28,86,14.0,14.0,2.0,12.068965517241379,0.0,-5.907,5.907,1628306
risk,data/transcripts/23e9a61f-32b3-435e-8c67-55c2e1e2f0ff.jsonl,23e9a61f-32b3-435e-8c67-55c2e1e2f0ff,andrefurt/safo,Claude Code,,manual-commit,290,75,66,0.0,3.0,16.0,0.0,4.5307371546822,-0.2890714285714286,4.819808583253629,6547871
risk,data/transcripts/6bafbeea-d7b3-4c07-988b-2d438e21bed3.jsonl,6bafbeea-d7b3-4c07-988b-2d438e21bed3,itsmaleen/dispatch,Claude Code,,manual-commit,1080,111,98,0.0,4.0,1.0,0.0,2.6653377714867665,-1.403830447647547,4.069168219134314,39481081
risk,data/transcripts/019d6380-37c5-7cb2-81d3-32d50df80731.jsonl,019d6380-37c5-7cb2-81d3-32d50df80731,zchee/zmux,Codex,gpt-5.4,manual-commit,846,135,74,0.0,319.0,1.0,0.0,2.2841545487753874,-1.8228878828596922,4.1070424316350795,9937193
risk,data/transcripts/019dad6e-bef6-74e2-af30-a8a14fc2b3f4.jsonl,019dad6e-bef6-74e2-af30-a8a14fc2b3f4,zchee/spanner-manager,Codex,gpt-5.4,manual-commit,287,47,59,5.0,5.0,3.0,1.7421602787456445,4.176300152387265,-0.7432531670436728,4.919553319430937,6407812
risk,data/transcripts/019e62d1-25a9-7283-8cf9-61de47bbab25-ca9bd0820e0d.jsonl,019e62d1-25a9-7283-8cf9-61de47bbab25,tristanmanchester/sifs,Codex,gpt-5.5,manual-commit,449,24,119,0.0,1431.0,1.0,0.0,2.8002184354423703,-1.4195037558847434,4.219722191327113,1951654
risk,data/transcripts/554105c6-d588-4c1c-b3ef-c95141a41597.jsonl,554105c6-d588-4c1c-b3ef-c95141a41597,roo-oliv/monodreams,Claude Code,,manual-commit,198,11,109,0.0,1543.0,19.0,0.0,3.6127812557164813,-0.860928785781455,4.473710041497936,3441153
risk,data/transcripts/a09c77e0-4a65-4d12-aac3-a01654d9a3b8.jsonl,a09c77e0-4a65-4d12-aac3-a01654d9a3b8,feltroidprime/s2morrow,Claude Code,,manual-commit,405,55,29,0.0,202.0,2.0,0.0,3.658107015442872,-0.4683327413424594,4.126439756785332,17451206
risk,data/transcripts/019e6e73-ff84-7db0-9424-41605294929b.jsonl,019e6e73-ff84-7db0-9424-41605294929b,socratesomiliadis/syntheci-shipping,Codex,gpt-5.5,manual-commit,159,9,35,0.0,0.0,1.0,0.0,0.44151754219804057,-3.8554391776031793,4.29695671980122,1850894
risk,data/transcripts/019ed29b-5de8-7272-9e6c-89a843c92842-0ff0de8d8673.jsonl,019ed29b-5de8-7272-9e6c-89a843c92842,entireio/cli-checkpoints,Codex,gpt-5.5,manual-commit,2336,98,1253,0.0,203.0,1.0,0.0,2.5981761354705313,-0.6745,3.2726761354705314,11088194
risk,data/transcripts/019e894f-ea37-7c60-ae10-4f6f73f2d25f.jsonl,019e894f-ea37-7c60-ae10-4f6f73f2d25f,fogodev/ars-ui,Codex,gpt-5.5,manual-commit,1433,13,811,2.0,2.0,1.0,0.13956734124214934,1.7481895015731146,-1.7648454484663207,3.5130349500394353,9483404
risk,data/transcripts/019dacfd-b948-7400-bfdf-9ec1d17d5b7d.jsonl,019dacfd-b948-7400-bfdf-9ec1d17d5b7d,AI-Stats/AI-Stats,Codex,gpt-5.3-codex,manual-commit,2401,103,723,0.0,451.0,1.0,0.0,2.38904394944795,-0.6849439476795178,3.073987897127468,27196340
risk,data/transcripts/019ed5fe-ec49-7a72-89fd-f38e323f5448-9d3868301340.jsonl,019ed5fe-ec49-7a72-89fd-f38e323f5448,entireio/cli-checkpoints,Codex,gpt-5.5,manual-commit,2990,171,1541,0.0,312.0,4.0,0.0,2.7544825424649106,-0.23899442783461006,2.9934769702995205,21219830
