segment_id,sample_role,repository,harness,review_priority_score,plan_review_priority
control__danielkotsi__pantryPal__ses_192700a31ffeZnbs37Py90Blhl::seg0022,control,danielkotsi/pantryPal,opencode,4.699170911837239,7.699170911837239
control__danielkotsi__pantryPal__ses_192700a31ffeZnbs37Py90Blhl::seg0018,control,danielkotsi/pantryPal,opencode,4.616908843430766,7.116908843430766
risk__s4lly__splitzy__b8072de6-aecc-4b6f-aa1c-ba71ac3a42fa::seg0003,risk,s4lly/splitzy,claude_like,11.652893185336868,14.652893185336868
risk__roo-oliv__monodreams__554105c6-d588-4c1c-b3ef-c95141a41597::seg0004,risk,roo-oliv/monodreams,claude_like,9.86010103233329,12.36010103233329
risk__entireio__external-agents__4fc30b8d-0d52-49cd-8b24-c78559edb2ff::seg0004,risk,entireio/external-agents,claude_like,8.86227944005172,11.36227944005172
risk__itsmaleen__dispatch__6bafbeea-d7b3-4c07-988b-2d438e21bed3::seg0079,risk,itsmaleen/dispatch,claude_like,8.35733824468952,11.35733824468952
risk__feltroidprime__s2morrow__a09c77e0-4a65-4d12-aac3-a01654d9a3b8::seg0050,risk,feltroidprime/s2morrow,claude_like,8.594682983564347,11.094682983564349
risk__moltis-org__moltis__0e1d39af-a1cb-48a8-af0d-24ab9737608f::seg0001,risk,moltis-org/moltis,claude_like,8.058115391915512,11.058115391915512
risk__moltis-org__moltis__ed791c89-3b1f-46b9-8e56-2d948f24f0e5::seg0003,risk,moltis-org/moltis,claude_like,7.919076575300357,10.919076575300355
risk__jpotter185__tallyo__31f69918-1324-4182-bd7e-63f6c031e965::seg0005,risk,jpotter185/tallyo,claude_like,9.434449373045634,9.434449373045634
risk__femto__mcp-chrome__ed381837-4c4b-4e6e-be38-d360d5c8e2c6::seg0028,risk,femto/mcp-chrome,claude_like,8.347565683395707,10.847565683395707
risk__moltis-org__moltis__0e1d39af-a1cb-48a8-af0d-24ab9737608f::seg0007,risk,moltis-org/moltis,claude_like,8.149423672683529,8.649423672683529
risk__moltis-org__moltis__ed791c89-3b1f-46b9-8e56-2d948f24f0e5::seg0005,risk,moltis-org/moltis,claude_like,8.084657440064811,8.084657440064811
risk__feltroidprime__s2morrow__a09c77e0-4a65-4d12-aac3-a01654d9a3b8::seg0010,risk,feltroidprime/s2morrow,claude_like,7.9911285243810575,10.491128524381056
risk__moltis-org__moltis__0e1d39af-a1cb-48a8-af0d-24ab9737608f::seg0004,risk,moltis-org/moltis,claude_like,7.936628285266956,10.436628285266956
risk__feltroidprime__s2morrow__a09c77e0-4a65-4d12-aac3-a01654d9a3b8::seg0002,risk,feltroidprime/s2morrow,claude_like,7.836840801805976,10.336840801805977
risk__fogodev__ars-ui__019e894f-ea37-7c60-ae10-4f6f73f2d25f::seg0011,risk,fogodev/ars-ui,codex,22.22043044325283,25.22043044325283
risk__fogodev__ars-ui__019e93b2-e997-7881-b092-7b1fb63bf491::seg0093,risk,fogodev/ars-ui,codex,20.49214984070065,22.99214984070065
risk__fogodev__ars-ui__019e93b2-e997-7881-b092-7b1fb63bf491::seg0102,risk,fogodev/ars-ui,codex,20.017917580494824,22.517917580494824
risk__AI-Stats__AI-Stats__019dacfd-b948-7400-bfdf-9ec1d17d5b7d::seg0016,risk,AI-Stats/AI-Stats,codex,17.56235879881431,20.56235879881431
risk__dayhaysoos__nimbus__019d9d31-4d17-7d71-bd79-7c0e1324b230::seg0004,risk,dayhaysoos/nimbus,codex,17.518269327514872,20.518269327514872
risk__tristanmanchester__sifs__019e62d1-25a9-7283-8cf9-61de47bbab25-ca9bd0820e0d::seg0014,risk,tristanmanchester/sifs,codex,17.31845772924752,20.31845772924752
risk__AI-Stats__AI-Stats__019dacfd-b948-7400-bfdf-9ec1d17d5b7d::seg0064,risk,AI-Stats/AI-Stats,codex,17.20394516417439,20.20394516417439
risk__entireio__cli-checkpoints__019ed29b-5de8-7272-9e6c-89a843c92842-0ff0de8d8673::seg0080,risk,entireio/cli-checkpoints,codex,17.905485067446616,17.905485067446616
risk__dayhaysoos__nimbus__019d9d31-4d17-7d71-bd79-7c0e1324b230::seg0001,risk,dayhaysoos/nimbus,codex,17.17930237685477,20.17930237685477
risk__entireio__cli-checkpoints__019ed5fe-ec49-7a72-89fd-f38e323f5448-9d3868301340::seg0139,risk,entireio/cli-checkpoints,codex,17.020498076689243,20.020498076689243
risk__dayhaysoos__nimbus__019d9d31-4d17-7d71-bd79-7c0e1324b230::seg0024,risk,dayhaysoos/nimbus,codex,16.30975005953394,19.30975005953394
risk__entireio__cli-checkpoints__019ed5fe-ec49-7a72-89fd-f38e323f5448-9d3868301340::seg0142,risk,entireio/cli-checkpoints,codex,16.222528876704864,19.222528876704864
risk__dayhaysoos__nimbus__019d9d31-4d17-7d71-bd79-7c0e1324b230::seg0020,risk,dayhaysoos/nimbus,codex,15.70227282004656,18.70227282004656
risk__fogodev__ars-ui__019e93b2-e997-7881-b092-7b1fb63bf491::seg0096,risk,fogodev/ars-ui,codex,15.290891768242592,17.79089176824259
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0009,risk,dayhaysoos/nimbus,opencode,9.88385765175116,12.88385765175116
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0015,risk,dayhaysoos/nimbus,opencode,9.288766986446175,12.288766986446175
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0013,risk,dayhaysoos/nimbus,opencode,8.774559612338866,11.774559612338866
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0001,risk,dayhaysoos/nimbus,opencode,8.417832907879466,11.417832907879466
risk__danielkotsi__pantryPal__ses_1924912e8ffe8q38s2gOwL0Q36::seg0002,risk,danielkotsi/pantryPal,opencode,7.102172831955451,10.10217283195545
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0031,risk,dayhaysoos/nimbus,opencode,7.508661999576857,10.008661999576857
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0006,risk,dayhaysoos/nimbus,opencode,6.801029885720595,9.801029885720595
risk__danielkotsi__pantryPal__ses_1924912e8ffe8q38s2gOwL0Q36::seg0001,risk,danielkotsi/pantryPal,opencode,5.997968118315367,8.997968118315367
risk__dayhaysoos__nimbus__ses_33c1ef6dcffejADgxp8843cqwQ::seg0028,risk,dayhaysoos/nimbus,opencode,5.895180075292583,8.895180075292583
risk__danielkotsi__pantryPal__ses_1924912e8ffe8q38s2gOwL0Q36::seg0010,risk,danielkotsi/pantryPal,opencode,5.864573768438667,8.864573768438667
